author_collaborator,name,organizational_affiliation,optional_email_Department,last_active
A:,"Aiuvalasit, Michael J.",University of Illinois at Urbana-Champaign,,2021-01-01
A:,"Allen, Craig D.",US Geological Survey,,2019-03-01
A:,"Anderegg, Leander D.L.","University of California, Berkeley",,2020-05-01
A:,"Andreev, Sergey G.",Russian Academy of Sciences,,2022-04-01
C:,Ann Youberg,University of Arizona,,2021-11-01
A:,"Arabas, Karen B.",Willamette University,,2022-04-01
A:,"Arizpe, Alexis H.",Austrian Academy of Sciences,,2022-04-01
A:,"Arseneault, Dominique",Université du Québec à Rimouski,,2022-04-01
A:,"Axelson, Jodi","University of California, Berkeley",,2020-06-01
A:,"Ayurzhanaev, Alexander A.",Russian Academy of Sciences,,2022-04-01
A:,"Azpeleta Tarancón, Alicia",Northern Arizona University,,2022-04-01
A:,"Babst, Flurin",University of Arizona,,2020-05-01
A:,"Baisan, Christopher H.",University of Arizona,,2020-06-01
A:,"Balch, Jennifer",University of Colorado Boulder,,2022-04-01
A:,"Banerjee, Tirtha","University of California, Irvine",,2022-04-01
A:,"Barnes, Rebecca T.",Colorado College,,2022-04-01
A:,"Batotsyrenov, Eduard A.",Russian Academy of Sciences,,2022-04-01
A:,"Battillo, Jenna",Southern Methodist University,,2021-01-01
A:,"Beckmann, Jill J.",U.S. Geological Survey,,2022-04-01
A:,"Bela, Megan",University of Colorado Boulder,,2022-04-01
A:,"Bendix, Jacob",Syracuse University,,2022-04-01
A:,"Bergeron, Yves",Université du Québec en Abitibi-Témiscamingue,,2022-04-01
A:,"Bertolino, Sandro",University of Turin,,2022-04-01
A:,"Betancourt, Julio",US Geological Survey,,2018-06-01
A:,"Bigio, Erica","University of Nevada, Reno",,2022-04-01
A:,"Bililign, Solomon",North Carolina A&T State University,,2022-04-01
A:,"Biondi, Franco","University of Nevada, Reno",,2022-04-01
A:,"Black, Bryan A.",University of Arizona,,2020-05-01
A:,"Bladon, Kevin D.",Oregon State University,,2022-04-01
A:,"Brando, Paulo",University of California Irvine,,2022-04-01
A:,"Breidenthal, Robert E.",University of Washington,,2022-04-01
A:,"Brewer, Peter",University of Arizona,,2020-05-01
A:,"Brice, Rebecca",US Geological Survey,,2021-04-01
A:,"Buma, Brian","University of Colorado, Denver",,2022-04-01
A:,"Cahalan, Gabriel D.",The Nature Conservancy,,2022-04-01
A:,"Calhoun, Donna",Boise State University,,2022-04-01
A:,"Caprio, Anthony C.",Sequoia & Kings Canyon National Parks,,2022-04-01
A:,"Carril, Dennis",US Forest Service,,2022-04-01
A:,"Carvalho, Leila M.V.","University of California, Santa  Barbara",,2022-04-01
A:,"Cattau, Megan",Boise State University,,2022-04-01
A:,"Cerano-Paredes, Julián",CENID-RASPA INIFAP,,2022-04-01
A:,"Chandra, Sudeep",University of Nevada,,2022-04-01
A:,"Chavardès, Raphaël D.",Université du Québec en Abitibi-Témiscamingue,,2022-04-01
A:,"Chipman, Melissa L.",Syracuse University,,2022-04-01
A:,"Cobian, Jeanette",University of California Merced,,2022-04-01
A:,"Collins, Brandon M.","University of California, Berkeley",,2022-04-01
A:,"Conlisk, Erin",Point Blue Conservation Science,,2022-04-01
A:,"Coop, Jonathan D.",Western Colorado University,,2022-04-01
A:,"Copes-Gerbitz, Kelsey",University of British Columbia,,2022-04-01
C:,"Crimmins, Michael",University of Arizona,,2021-12-01
A:,"Cullen, Alison",University of Wasington,,2022-04-01
A:,"Daniels, Lori D.",University of British Columbia,,2022-04-01
A:,"Davis, Kimberley T.",University of Montana,,2022-04-01
A:,"Dawe, Denyse A.",Canadian Forest Service,,2022-04-01
A:,"Dayalu, Archana",Atmospheric and Environmental Research,,2022-04-01
A:,"De Sales, Fernando",San Diego State University,,2022-04-01
A:,"Dean, Jeffrey S.",University of Arizona,,2020-06-01
A:,"DeRose, R. Justin",US Forest Service,,2020-05-01
A:,"Dey, Daniel C.",US Forest Service,,2022-04-01
A:,"Dolman, Megan",Boise State University,,2022-04-01
A:,"Drobyshev, Igor",Swedish Agricultural University,,2022-04-01
A:,"Ellsworth, Lisa M.",Oregon State University,,2022-04-01
A:,"English, Nathan B.","Central Queensland University, Townsville",,2020-06-01
A:,"Enquist, Carolyn A.F.",U.S. Geological Survey,,2022-04-01
A:,"Ettinger, Ailene","The Nature Conservancy, Seattle, WA,",,2020-05-01
A:,"Evans, Margaret E.K.",University of Arizona,,2020-05-01
A:,"Falk, Donald A.",University of Arizona,,2022-04-01
A:,"Farella, Joshua",University of Arizona,,2021-01-01
A:,"Farris, Calvin",National Park Service,,2022-04-01
A:,"Fenwick, M. Adele",University of New Hampshire,,2022-04-01
A:,"Ferguson, T.J.",University of Arizona,,2021-01-01
A:,"Flatley, William",University of Central Arkansas,,2022-04-01
A:,"Floyd, M. Lisa",Natural History Institute,,2022-04-01
A:,"Fornwalt, Paula J.",US Forest Service,,2022-04-01
A:,"Franklin, Scott",University of Northern Colorado,,2022-04-01
A:,"Fulé, Peter Z.",Northern Arizona University,,2022-04-01
A:,"Gedalof, Ze'ev",University of Guelph,,2022-04-01
A:,"Gervais , David",Laval University,,2022-04-01
A:,"Girardin, Martin P.",Canadian Forest Service,,2022-04-01
A:,"Gregg, Rachel M.",EcoAdapt,,2022-04-01
A:,"Griesbauer, Hardy","Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Prince George, BC, Canada",,2020-05-01
A:,"Haffey, Collin",New Mexico Forestry Division,,2022-04-01
A:,"Hagmann, R. Keala",University of Washington,,2022-04-01
