year,month,author_collaborator,name,organizational_affiliation,optional_email_Department,last_active
2021,1,A:,"Aiuvalasit, Michael J.",University of Illinois at Urbana-Champaign,,
2021,1,A:,"Battillo, Jenna",Southern Methodist University,,
2021,1,A:,"Farella, Joshua",University of Arizona,,
2021,1,A:,"Ferguson, T.J.",University of Arizona,,
2021,1,A:,"Hockaday, William C.",Baylor University,,
2021,1,A:,"Kiahtipes, Christopher A.",University of South Florida,,
2021,1,A:,"Liebmann, Matthew J.",Harvard University,,
2021,1,A:,"Loehman, Rachel A.",US Geological Survey,,
2021,1,A: ,"Margolis, Ellis Q.",US Geological Survey,,
2021,1,A:,"Welch, John R.",Simon Frasier University,,
2018,3,A: ,"Fowler, Joshua C.",University of Arizona,,
2018,3,A: ,"Gugger, Paul F.",University of Maryland,,
2018,3,A: ,"Riordan, Erin C.",University of Arizona,,
2020,6,A: ,"Baisan, Christopher H.",University of Arizona,,
2020,6,A:,"Dean, Jeffrey S.",University of Arizona,,
2020,6,A:,"English, Nathan B.","Central Queensland University, Townsville",,
2020,6,A:,"Quade, Jay",University of Arizona,,
2020,6,A:,"Swetnam, Thomas W.",University of Arizona,,
2021,5,A:,"Roos, Christopher I.",Southern Methodist University,,
2021,4,A:,"Brice, Rebecca",US Geological Survey,,
2021,4,A:,"McClellan, Carlee",Navajo Nation,,
2021,4,A:,"Sheppard, Paul R.",University of Arizona,,
2021,4,A:,"Woodhouse, Connie",University of Arizona,,
2020,5,A:,"Anderegg, Leander D.L.","University of California, Berkeley",,
2020,5,A:,"Babst, Flurin",University of Arizona,,
2020,5,A:,"Black, Bryan A.",University of Arizona,,
2020,5,A: ,"DeRose, R. Justin",US Forest Service,,
2020,5,A:,"Ettinger, Ailene","The Nature Conservancy, Seattle, WA,",,
2020,5,A: ,"Evans, Margaret E.K.",University of Arizona,,
2020,5,A:,"Griesbauer, Hardy","Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Prince George, BC, Canada",,
2020,5,A:,"Harley, Grant L.",University of Idaho,,
2020,5,A:,"Harvey, Jill E.","Natural Resources Canada, Canadian Forest Service, Edmonton, AB, Canada",,
2020,5,A:,"Lo, Yueh Hsin","Universidad Publica de Navarra, Pamplona, Spain",,
2020,5,A: ,"O'Connor, Christopher D.",US Forest Service,,
2020,5,A:,"Restaino, Christina","University of Nevada, Reno",,
2020,5,A:,"Sauchyn, Dave","University of Regina, Regina, SK, Canada",,
2020,5,A: ,"Shaw, John D.",US Forest Service,,
2020,5,A:,"Smith, Dan J.","University of Victoria, Victoria, BC, Canada",,
2020,5,A:,"Villanueva-Diaz, Jose","Instituto Nacional de Investigaciones Forestales y Agropecuarias, CENID-RASPA, Gomez Palacio, Mexico",,
2020,5,A:,"Wood, Lisa",University of Northern British Columbia,,
2020,5,A:,"Brewer, Peter",University of Arizona,,
2019,11,A: ,"Malevich, Steven B.",University of Arizona,,
2021,12,C:,"Crimmins, Michael",University of Arizona,,
2022,1,C:,"Tsosie, William",Navajo Nation,,
2020,6,A:,"Axelson, Jodi","University of California, Berkeley",,
2020,6,A: ,"Lynch, Ann M.",US Forest Service,,
2019,3,A:,"Allen, Craig D.",US Geological Survey,,
2021,11,C:,Ann Youberg,University of Arizona,,
2020,11,A:,"Huffman, Jean",Louisiana State University,,
2020,11,A:,"Jones, Neil",Louisiana State University,,
